AssetId,AssetStatus,AssetName,Type,FromId,ToId,Diameter
1072,In Service,,Gravity,73475,73474,150
1073,In Service,,Gravity,81971,83825,150
1074,In Service,,Rising,PS044,89658,100
1075,In Service,,Gravity,81928,81575,225
1076,In Service,,Gravity,79372,83796,150
1078,In Service,,Rising,89673,83282,225
1080,In Service,,Gravity,83797,74390,150
1081,In Service,,Gravity,73319,87761,150
1082,In Service,,Gravity,88855,73323,150
1083,In Service,,Gravity,73321,78653,150
1084,In Service,,Gravity,86022,73304,150
1085,In Service,,Gravity,83793,78647,150
1086,In Service,,Gravity,87030,84737,150
1087,In Service,,Gravity,86028,83800,150
1088,In Service,,Gravity,73330,86545,150
1089,In Service,,Gravity,73329,88857,150
1090,In Service,,Gravity,78654,84738,150
1091,In Service,,Gravity,79600,82610,150
1092,In Service,,Gravity,87763,73333,150
1093,In Service,,Gravity,86547,73339,150
1094,In Service,,Gravity,80680,78656,150
1095,In Service,,Gravity,83802,73339,150
1096,In Service,,Gravity,79601,86029,150
1097,In Service,,Gravity,73335,86546,150
1098,In Service,,Gravity,82592,87764,150
1099,In Service,,Gravity,87764,73338,150
1100,In Service,,Gravity,73342,86138,150
1101,In Service,,Gravity,87765,89665,150
1102,In Service,,Gravity,89667,73341,150
1103,In Service,,Gravity,89666,89667,150
1104,In Service,,Gravity,82594,87073,150
1105,In Service,,Gravity,77879,77853,150
1106,In Service,,Gravity,145619,87766,150
1107,In Service,,Gravity,73344,80682,150
1108,In Service,,Gravity,82596,78657,150
1110,In Service,,Gravity,86018,83790,150
1111,In Service,,Gravity,79603,81116,150
1112,In Service,,Gravity,84798,73565,150
1113,In Service,,Gravity,87815,80984,150
1114,In Service,,Gravity,83803,87768,150
1115,In Service,,Gravity,73348,73347,150
1116,In Service,,Gravity,82598,86548,225
1117,In Service,,Gravity,79604,81948,225
1118,In Service,,Gravity,73353,73352,150
1120,In Service,,Gravity,78661,80686,150
1121,In Service,,Gravity,73360,87770,150
1122,In Service,,Gravity,81951,88861,150
1123,In Service,,Gravity,89662,76925,150
1124,In Service,,Gravity,87772,73367,150
1125,In Service,,Gravity,80687,83302,150
1126,In Service,,Gravity,79110,73369,150
1127,In Service,,Gravity,73370,PS118,150
1128,In Service,,Gravity,79607,81952,150
1129,In Service,,Gravity,84748,82603,150
1130,In Service,,Gravity,84720,82575,150
1131,In Service,,Gravity,81931,79585,150
1132,In Service,,Gravity,73266,88847,150
1133,In Service,,Gravity,73267,86536,150
1134,In Service,,Gravity,86536,81931,150
1135,In Service,,Gravity,88854,73318,150
1136,In Service,,Gravity,86542,86024,150
1137,In Service,,Gravity,87747,84772,150
1138,In Service,,Gravity,84721,78650,150
1139,In Service,,Gravity,73372,80688,150
1140,In Service,,Gravity,86031,83806,150
1141,In Service,,Gravity,82604,87775,150
1143,In Service,,Gravity,88865,78662,150
1144,In Service,,Gravity,84750,77571,150
1145,In Service,,Gravity,88866,73376,150
1146,In Service,,Gravity,73376,73377,150
1147,In Service,,Gravity,73379,73378,150
1148,In Service,,Gravity,79609,81954,150
1149,In Service,,Gravity,86553,86033,150
1150,In Service,,Gravity,73381,84751,150
1151,In Service,,Gravity,77135,84192,150
1152,In Service,,Gravity,73389,86555,150
1153,In Service,,Gravity,86035,83809,150
1154,In Service,,Gravity,86034,86554,150
1155,In Service,,Gravity,79610,73384,150
1156,In Service,,Gravity,88867,82605,150
1157,In Service,,Gravity,82605,79610,150
1158,In Service,,Gravity,73388,84752,150
1159,In Service,,Gravity,79058,73388,150
1160,In Service,,Gravity,84048,86036,150
1161,In Service,,Gravity,79612,81956,150
1162,In Service,,Rising,PS415,89594,50
1163,In Service,,Rising,PS414,89594,50
1164,In Service,,Gravity,88905,73540,150
1165,In Service,,Gravity,73545,80733,150
1166,In Service,,Gravity,80694,88906,150
1167,In Service,,Gravity,82639,84789,150
1168,In Service,,Gravity,73541,87806,150
1169,In Service,,Gravity,86068,73540,225
1170,In Service,,Gravity,86037,79613,150
1171,In Service,,Gravity,81957,85208,150
1172,In Service,,Gravity,78666,84753,150
1173,In Service,,Gravity,73394,73393,150
1174,In Service,,Gravity,83812,86038,150
1175,In Service,,Gravity,84754,73398,150
1176,In Service,,Gravity,73398,83466,150
1177,In Service,,Gravity,73397,73398,150
1178,In Service,,Gravity,88871,73399,150
1179,In Service,,Gravity,86038,73399,150
1180,In Service,,Gravity,88873,73406,150
1181,In Service,,Gravity,86559,73405,150
1182,In Service,,Gravity,86039,79615,150
1183,In Service,,Gravity,73404,87779,150
1184,In Service,,Gravity,83813,87779,150
1185,In Service,,Gravity,73405,81104,150
1186,In Service,,Gravity,88872,80719,150
1187,In Service,,Gravity,81959,82609,175
1188,In Service,,Gravity,73409,89638,900
1189,In Service,,Gravity,79617,86040,150
1190,In Service,,Gravity,86040,73526,150
1191,In Service,,Gravity,88900,73527,150
1192,In Service,,Gravity,80699,81119,150
1193,In Service,,Gravity,86560,73412,150
1194,In Service,,Gravity,88875,84759,150
1195,In Service,,Gravity,87780,73410,150
1196,In Service,,Gravity,73416,73415,150
1197,In Service,,Gravity,78672,84760,150
1198,In Service,,Gravity,73419,83817,150
1199,In Service,,Gravity,81706,83563,650
1200,In Service,,Gravity,87782,78923,150
1201,In Service,,Gravity,80702,78674,150
1202,In Service,,Gravity,78676,73435,150
1203,In Service,,Gravity,88881,86044,150
1204,In Service,,Gravity,86565,82614,150
1205,In Service,,Gravity,73430,84762,150
1206,In Service,,Gravity,82612,79618,150
1207,In Service,,Gravity,83819,79621,150
1208,In Service,,Gravity,82613,78675,150
1209,In Service,,Gravity,81963,86562,150
1210,In Service,,Gravity,73421,86042,150
1211,In Service,,Gravity,80703,73428,150
1212,In Service,,Gravity,79620,86564,150
1213,In Service,,Gravity,73432,73434,150
1214,In Service,,Gravity,79619,73425,150
1215,In Service,,Gravity,83818,80704,150
1216,In Service,,Gravity,81965,86565,150
1217,In Service,,Gravity,87784,83818,150
1218,In Service,,Gravity,73424,73427,150
1219,In Service,,Gravity,88879,73429,150
1220,In Service,,Gravity,86042,88895,150
1221,In Service,,Gravity,84764,81966,150
1222,In Service,,Gravity,82615,73440,150
1223,In Service,,Gravity,78678,80706,150
1224,In Service,,Gravity,73442,82615,150
1225,In Service,,Gravity,87787,73443,150
1226,In Service,,Gravity,80706,77526,150
1227,In Service,,Gravity,86567,88883,150
1228,In Service,,Gravity,83821,86047,150
1229,In Service,,Gravity,80707,73445,150
1230,In Service,,Gravity,73446,86046,150
1231,In Service,,Rising,89629,SSPU0010,300
1232,In Service,,Rising,89628,89627,300
1233,In Service,,Rising,89627,89626,300
1234,In Service,,Rising,89228,89121,300
1235,In Service,,Rising,89701,89700,300
1236,In Service,,Rising,89699,86550,300
1237,In Service,,Gravity,86030,79605,475
1238,In Service,,Gravity,81949,73355,300
1239,In Service,,Gravity,73356,73357,475
1240,In Service,,Gravity,82599,86551,475
1241,In Service,,Overflow,PS210,89708,150
1242,In Service,,Gravity,73358,89698,475
1243,In Service,,Gravity,73359,86550,150
1244,In Service,,Rising,89697,89696,300
1246,In Service,,Gravity,81968,88884,150
1247,In Service,,Gravity,73447,84796,150
1248,In Service,,Gravity,73757,80773,580
1249,In Service,,Gravity,73450,86568,150
1250,In Service,,Gravity,73451,80708,375
1251,In Service,,Gravity,80710,78683,150
1252,In Service,,Gravity,86569,87051,150
1253,In Service,,Gravity,87790,76184,150
1254,In Service,,Gravity,78684,80711,150
1255,In Service,,Gravity,80712,77574,150
1256,In Service,,Gravity,80713,82619,150
1257,In Service,,Gravity,84771,78686,150
1258,In Service,,Gravity,83823,86049,150
1259,In Service,,Gravity,87793,73466,150
1260,In Service,,Gravity,73465,84772,150
1261,In Service,,Gravity,80716,82621,150
1262,In Service,,Gravity,84772,73464,150
1263,In Service,,Gravity,73464,88887,150
1264,In Service,,Gravity,88887,79625,150
1265,In Service,,Gravity,73468,80692,150
1266,In Service,,Gravity,83826,86052,150
1267,In Service,,Gravity,86572,87794,150
1268,In Service,,Gravity,84775,73477,150
1269,In Service,,Gravity,81972,86052,150
1270,In Service,,Gravity,73469,78689,150
1271,In Service,,Gravity,83799,87762,150
1272,In Service,,Gravity,73325,87698,150
1273,In Service,,Gravity,88893,81976,150
1274,In Service,,Gravity,87797,73490,150
1275,In Service,,Gravity,82626,73326,150
1276,In Service,,Gravity,80720,78693,150
1277,In Service,,Gravity,86055,82626,150
1278,In Service,,Gravity,79630,86055,150
1279,In Service,,Gravity,87798,73493,150
1280,In Service,,Gravity,81977,79631,150
1281,In Service,,Gravity,79631,73492,150
1282,In Service,,Gravity,79632,73496,150
1283,In Service,,Gravity,86576,73495,150
1284,In Service,,Gravity,73494,80721,150
1285,In Service,,Gravity,73492,81127,150
1286,In Service,,Rising,PS120,89625,150
1287,In Service,,Gravity,73505,73504,150
1288,In Service,,Gravity,73504,73503,150
1289,In Service,,Gravity,73506,73503,150
1290,In Service,,Gravity,81980,84780,150
1291,In Service,,Gravity,82629,80723,150
1292,In Service,,Gravity,78697,86059,150
1293,In Service,,Gravity,73502,86577,150
1294,In Service,,Gravity,78698,86060,150
1295,In Service,,Gravity,73501,73499,150
1296,In Service,,Gravity,73498,80722,150
1297,In Service,,Gravity,84779,83831,150
1298,In Service,,Gravity,73510,83833,150
1299,In Service,,Gravity,81979,79633,150
1300,In Service,,Gravity,73511,86579,150
1301,In Service,,Gravity,83131,87650,150
1302,In Service,,Rising,89581,89683,300
1303,In Service,,Rising,138590,PS025,300
1304,In Service,,Gravity,84193,77423,225
1305,In Service,,Gravity,76451,84193,225
1306,In Service,,Rising,138618,89725,300
1307,In Service,,Rising,89727,89726,300
1308,In Service,,Rising,89729,89728,300
1309,In Service,,Rising,PS028,138614,200
1310,In Service,,Rising,138612,89731,300
1311,In Service,,Rising,PS028,138615,200
1312,In Service,,Rising,PS028,138616,200
1313,In Service,,Gravity,88904,73537,150
1314,In Service,,Gravity,77785,77784,225
1315,In Service,,Gravity,86112,79086,150
1316,In Service,,Gravity,79086,84085,150
1317,In Service,,Gravity,80094,77665,150
1318,In Service,,Gravity,87058,77666,150
1319,In Service,,Gravity,88901,73528,800
1320,In Service,,Gravity,73528,83836,800
1321,In Service,,Gravity,73530,78701,150
1322,In Service,,Gravity,82635,78701,150
1323,In Service,,Gravity,73531,88152,150
1324,In Service,,Gravity,79637,81984,150
1325,In Service,,Gravity,81984,86064,150
1326,In Service,,Gravity,84785,80352,150
1327,In Service,,Gravity,81985,76914,150
1328,In Service,,Gravity,73861,73532,150
1329,In Service,,Gravity,81330,75200,150
1330,In Service,,Gravity,73533,83837,150
1331,In Service,,Gravity,84786,80729,150
1333,In Service,,Gravity,82637,80731,150
1334,In Service,Southern Pipeline,Gravity,88903,73535,1000
1335,In Service,,Rising,PS119,138576,175
1336,In Service,,Gravity,87805,77137,150
1337,In Service,,Gravity,77137,85068,150
1338,In Service,,Gravity,81987,79638,150
1339,In Service,,Gravity,73539,85068,150
1340,In Service,,Gravity,82471,73280,150
1341,In Service,,Gravity,84788,78705,150
1342,In Service,,Gravity,78707,79058,150
1343,In Service,,Gravity,82640,84790,150
1346,In Service,,Gravity,84783,82634,150
1347,In Service,,Gravity,78708,83839,150
1348,In Service,,Gravity,86066,79641,150
1349,In Service,,Gravity,81988,80728,150
1350,In Service,,Gravity,88907,88148,150
1351,In Service,,Gravity,81989,84791,150
1352,In Service,,Gravity,81129,81995,150
1353,In Service,,Gravity,78709,73549,150
1354,In Service,,Gravity,83840,81990,150
1355,In Service,,Gravity,79643,75701,150
1357,In Service,,Gravity,84792,73551,150
1358,In Service,,Gravity,73551,87810,150
1359,In Service,,Gravity,138532,84793,450
1361,In Service,,Rising,138549,89532,375
1362,In Service,,Rising,138538,138549,375
1363,In Service,,Rising,138535,89529,375
1364,In Service,,Rising,89543,89542,450
1365,In Service,,Rising,89545,89544,450
1366,In Service,,Rising,89549,89538,375
1367,In Service,,Rising,89541,89551,450
1368,In Service,,Gravity,89529,138544,100
1369,In Service,,Rising,138546,75329,100
1370,In Service,,Gravity,138549,85353,100
1371,In Service,,Gravity,138536,80056,100
1372,In Service,,Gravity,138548,82139,100
1373,In Service,,Gravity,84794,82643,150
1374,In Service,,Gravity,84115,87811,150
1375,In Service,,Gravity,87812,73560,150
1378,In Service,,Gravity,84796,78710,150
1379,In Service,,Gravity,80734,73561,150
1380,In Service,,Gravity,73540,79646,225
1381,In Service,,Gravity,81992,88908,225
1382,In Service,,Gravity,73564,86588,225
1383,In Service,,Gravity,87814,82647,225
1384,In Service,,Gravity,82647,84797,225
1385,In Service,,Gravity,78711,85086,225
1386,In Service,,Gravity,79647,82090,450
1387,In Service,,Rising,PS420,81038,50
1388,Out of Service,,Reclaimed,89587,89586,100
1389,Out of Service,,Reclaimed,89588,89587,100
1390,Out of Service,,Reclaimed,89585,89584,100
1391,In Service,,Rising,PS006,89432,150
1392,In Service,,Gravity,73574,81993,150
1393,In Service,,Gravity,88911,83517,150
1394,In Service,,Gravity,87817,89457,150
1395,In Service,,Gravity,73579,87818,150
1396,In Service,,Gravity,73580,73581,150
1397,In Service,,Gravity,79652,78713,150
1398,In Service,,Gravity,87818,75008,300
1401,In Service,,Gravity,82650,80083,200
1402,In Service,,Gravity,81998,84800,150
1403,In Service,,Gravity,78714,84800,150
1404,In Service,,Rising,79653,89434,150
1405,In Service,,Gravity,82651,81423,100
1406,In Service,,Rising,PS110,80738,50
1407,In Service,Heath Street Toilet Block,Gravity,PS215,82674,100
1408,In Service,,Rising,PS062-0202FE,138543,500
1409,In Service,,Gravity,82652,77246,150
1410,In Service,,Rising,PS203,78733,150
1411,In Service,,Gravity,73590,87820,150
1412,In Service,,Gravity,87820,89777,150
1413,In Service,,Gravity,81999,83849,150
1414,In Service,,Gravity,85352,88256,150
1415,In Service,,Gravity,88107,87025,150
1416,In Service,,Gravity,86069,79649,150
1417,In Service,,Gravity,88156,76847,150
1418,In Service,,Gravity,73576,73578,150
1419,In Service,,Gravity,86595,74152,150
1420,In Service,,Gravity,82649,84801,300
1421,In Service,,Gravity,78715,80739,300
1422,In Service,,Gravity,73596,82429,150
1423,In Service,,Gravity,85353,83850,150
1424,In Service,,Gravity,73602,85198,150
1425,In Service,,Gravity,88919,79658,150
1426,In Service,,Gravity,73604,73603,150
1427,In Service,,Gravity,82655,84807,150
1428,In Service,,Gravity,80741,78718,150
1429,In Service,,Gravity,73606,85354,150
1430,In Service,,Gravity,85355,73602,150
1431,In Service,,Gravity,73607,88920,150
1432,In Service,,Gravity,79657,85540,150
1433,In Service,,Gravity,83851,84806,150
1434,In Service,,Gravity,73601,73599,150
1435,In Service,,Gravity,73600,73598,150
1436,In Service,,Gravity,73598,85442,150
1437,In Service,,Gravity,73609,73610,150
1438,In Service,,Gravity,84808,78720,150
1440,In Service,,Gravity,73460,87792,150
1441,In Service,,Gravity,78721,80744,150
1442,In Service,,Gravity,82658,87753,150
1443,In Service,,Gravity,73592,73593,150
1444,In Service,,Gravity,86599,82565,150
1446,In Service,,Gravity,88921,86599,150
1447,In Service,,Gravity,73617,87826,150
1448,In Service,,Gravity,84991,78722,150
1449,In Service,,Gravity,79661,73619,225
1450,In Service,,Gravity,86600,80746,150
1451,Out of Service,,Rising,89606,73621,150
1452,In Service,,Gravity,73622,87827,150
1453,In Service,,Gravity,83856,81282,150
1454,In Service,,Gravity,73625,85358,100
1455,In Service,,Gravity,87828,73627,150
1456,In Service,,Gravity,79987,81283,150
1457,In Service,,Gravity,89116,83857,150
1458,In Service,,Gravity,77142,88923,150
1459,In Service,,Gravity,73632,88924,150
1460,In Service,,Gravity,87830,73635,150
1461,In Service,,Gravity,73637,79665,150
1462,In Service,,Gravity,86604,PS024,150
1463,In Service,,Gravity,83859,85361,150
1464,In Service,,Gravity,81285,73638,150
1465,In Service,,Gravity,87831,82663,150
1466,In Service,,Gravity,88300,73642,150
1467,In Service,,Gravity,82663,85362,150
1468,In Service,,Gravity,84813,73646,150
1469,In Service,,Gravity,86606,85363,150
1470,In Service,,Gravity,89118,87833,150
1471,In Service,,Gravity,83861,82665,150
1472,In Service,,Gravity,84814,78727,150
1473,In Service,,Gravity,87834,73652,150
1474,In Service,,Gravity,78728,80752,150
1475,In Service,,Gravity,78727,73653,150
1476,In Service,,Rising,PS019,73654,200
1477,In Service,,Gravity,85364,83969,150
1478,In Service,,Gravity,73655,86607,225
1479,In Service,,Gravity,73656,87835,150
1480,In Service,,Gravity,86608,73657,150
1481,In Service,,Gravity,85365,89120,150
1482,In Service,,Gravity,77144,81288,150
1483,In Service,,Gravity,84817,78730,495
1484,In Service,,Gravity,86609,80754,150
1485,In Service,,Gravity,83863,76638,150
1486,In Service,,Gravity,88930,81289,150
1487,In Service,,Gravity,81289,73662,150
1488,In Service,,Gravity,73662,81011,150
1489,In Service,,Gravity,78731,73663,150
1490,In Service,,Gravity,88931,73665,150
1491,In Service,,Gravity,82670,84819,150
1492,In Service,,Gravity,80755,73667,150
1493,In Service,,Gravity,82007,88932,150
1494,In Service,,Gravity,86610,PS080,150
1495,In Service,,Gravity,82671,87839,495
1496,In Service,,Gravity,73671,73672,150
1497,In Service,,Gravity,85369,79672,300
1498,In Service,,Gravity,84820,73674,495
1499,In Service,,Gravity,73674,86611,567
1500,In Service,,Gravity,87840,73676,567
1501,In Service,,Gravity,85370,79673,567
1502,In Service,,Gravity,82672,81292,150
1503,In Service,,Gravity,73679,78735,140
1504,In Service,,Gravity,80758,73680,567
1506,In Service,,Gravity,157269,81293,567
1507,In Service,,Gravity,73683,86613,225
1508,In Service,,Gravity,81294,88301,150
1509,In Service,,Gravity,73687,83869,150
1510,In Service,,Gravity,84823,80760,150
1511,In Service,,Gravity,80760,73690,150
1512,In Service,,Gravity,87842,79676,150
1513,In Service,,Gravity,73690,88936,150
1514,In Service,,Gravity,88936,86615,150
1515,In Service,,Gravity,83870,85143,150
1516,In Service,,Gravity,73694,73693,150
1517,In Service,,Gravity,81296,87843,150
1518,In Service,,Gravity,88937,80762,150
1519,In Service,,Gravity,73699,73700,150
1520,In Service,,Gravity,73700,81297,150
1521,In Service,,Gravity,81297,86617,150
1522,In Service,,Gravity,73702,83872,150
1523,In Service,,Gravity,73703,PS021,225
1524,In Service,,Gravity,73704,73705,225
1525,In Service,,Gravity,73709,73708,150
1526,In Service,,Gravity,84826,78739,150
1527,In Service,,Gravity,73710,88940,150
1528,In Service,,Gravity,76962,86618,150
1529,In Service,,Gravity,78739,79656,150
1530,In Service,,Gravity,85376,82008,150
1531,In Service,,Gravity,82677,88941,150
1532,In Service,,Gravity,86619,PS022,150
1533,In Service,,Gravity,73717,73716,150
1534,In Service,,Rising,PS102,78741,80
1535,In Service,,Gravity,86620,73720,150
1536,In Service,,Rising,PS031,82678,150
1537,In Service,,Gravity,73723,80766,225
1538,In Service,,Gravity,86947,77150,150
1539,In Service,,Gravity,85379,79683,150
1540,In Service,,Gravity,73724,73725,225
1541,In Service,,Gravity,73725,78743,225
1542,In Service,,Gravity,80767,87849,150
1543,In Service,,Gravity,81302,79684,225
1544,In Service,,Gravity,73728,88302,150
1545,In Service,,Gravity,73730,83879,150
1546,In Service,,Gravity,85381,88944,150
1547,In Service,,Gravity,87851,82681,150
1548,In Service,,Gravity,73733,81012,150
1549,In Service,,Gravity,73735,73734,150
1550,In Service,,Gravity,83880,73735,150
1551,In Service,,Gravity,81304,85382,150
1552,In Service,,Gravity,84832,PS041,150
1553,In Service,,Gravity,73737,80769,150
1554,In Service,,Gravity,73740,88946,150
1555,In Service,,Gravity,90868,82683,150
1557,In Service,,Gravity,83882,85383,150
1558,In Service,,Gravity,78747,84834,300
1559,In Service,,Gravity,83014,80771,300
1560,In Service,,Gravity,73745,159927,300
1561,In Service,,Gravity,86626,88948,150
1562,In Service,,Gravity,82684,86626,150
1563,In Service,,Gravity,73749,82684,150
1564,In Service,,Gravity,83884,73751,225
1565,In Service,,Gravity,73753,73752,150
1566,In Service,,Gravity,82685,79690,150
1567,In Service,,Gravity,140769,81308,150
1568,In Service,,Gravity,81308,88949,150
1569,In Service,,Gravity,87855,82686,580
1570,In Service,,Gravity,88950,73760,580
1571,In Service,,Gravity,86629,73761,580
1572,In Service,,Gravity,73761,83886,580
1573,In Service,,Gravity,88036,73762,150
1574,In Service,,Rising,PS083,81309,150
1575,In Service,,Gravity,84836,83015,150
1576,In Service,,Gravity,78751,73767,580
1577,In Service,,Gravity,89129,87856,150
1578,In Service,,Gravity,87856,86948,150
1579,In Service,,Gravity,86948,83888,150
1580,In Service,,Gravity,83888,78169,150
1581,In Service,,Gravity,73773,87857,150
1582,In Service,,Gravity,84838,78752,150
1583,In Service,,Gravity,86631,73774,150
1584,In Service,,Gravity,73774,85389,150
1585,In Service,,Gravity,79693,80777,150
1586,In Service,,Gravity,77154,84839,150
1587,In Service,,Gravity,86632,79694,150
1588,In Service,,Gravity,81312,PS013,580
1589,In Service,,Gravity,87859,82690,225
1590,In Service,,Gravity,84840,87859,225
1591,In Service,,Gravity,78984,PS085,150
1592,In Service,,Gravity,73782,86633,150
1593,In Service,,Gravity,73785,73786,150
1594,In Service,,Gravity,86634,83892,150
1595,In Service,,Gravity,85145,79696,150
1596,In Service,,Gravity,87861,73789,150
1597,In Service,,Gravity,73790,80779,150
1598,In Service,,Gravity,73792,87861,150
1599,In Service,,Gravity,80779,83893,225
1600,In Service,,Gravity,79697,81315,150
1601,In Service,,Gravity,81315,80780,150
1602,In Service,,Gravity,73795,86636,150
1603,In Service,,Gravity,73794,79698,150
1604,In Service,,Gravity,82694,84844,150
1605,In Service,,Gravity,73796,80781,225
1606,In Service,,Gravity,78757,81317,150
1607,In Service,,Gravity,85394,73800,150
1608,In Service,,Gravity,79699,82695,150
1609,In Service,,Gravity,80782,73801,150
1610,In Service,,Gravity,73801,73802,150
1611,In Service,,Gravity,73799,85395,150
1612,In Service,,Gravity,82010,87864,225
1613,In Service,,Gravity,82696,78758,150
1614,In Service,,Rising,PS003,89461,150
1615,In Service,,Gravity,80783,79700,150
1616,In Service,,Gravity,88960,73806,150
1617,In Service,,Gravity,85396,87865,150
1618,In Service,,Gravity,84996,78760,150
1619,In Service,,Gravity,87865,73809,150
1620,In Service,,Gravity,73811,83898,150
1621,In Service,,Gravity,85397,73811,150
1623,In Service,,Gravity,84847,82697,150
1625,In Service,,Gravity,81320,73816,300
1626,In Service,,Gravity,73816,79513,300
1627,In Service,,Gravity,78762,80786,150
1628,In Service,,Gravity,87866,85399,150
1629,In Service,,Gravity,73818,86949,300
1630,In Service,,Gravity,81321,80787,150
1631,In Service,,Gravity,73826,83900,150
1632,In Service,,Gravity,78985,81014,150
1633,In Service,,Gravity,79705,PS004,150
1634,In Service,,Gravity,88965,73830,150
1635,In Service,,Gravity,144027,78764,150
1636,In Service,,Gravity,78764,84850,150
1637,In Service,,Gravity,88966,81324,150
1638,In Service,,Gravity,84850,73835,150
1639,In Service,,Gravity,73836,86643,150
1640,In Service,,Gravity,85402,73839,150
1641,In Service,,Rising,138551,84851,100
1642,In Service,,Gravity,77161,86950,150
1643,In Service,,Gravity,79707,77161,150
1644,In Service,,Gravity,80790,73841,150
1645,In Service,,Gravity,73843,87870,150
1646,In Service,,Gravity,81326,83904,150
1647,In Service,,Gravity,73846,73288,150
1648,In Service,,Gravity,73848,86645,150
1649,In Service,,Gravity,84854,78986,150
1650,In Service,,Gravity,86646,73852,150
1651,In Service,,Gravity,85406,73852,150
1652,In Service,,Gravity,79710,86646,150
1653,In Service,,Gravity,87873,73854,150
1654,In Service,,Gravity,73857,PS073,300
1655,In Service,,Gravity,86647,PS073,150
1656,In Service,,Gravity,83907,78987,150
1658,In Service,,Gravity,86648,73863,150
1659,In Service,,Gravity,82708,87876,150
1660,In Service,,Gravity,86649,73866,150
1661,In Service,,Gravity,83908,73867,150
1662,In Service,,Rising,PS042,85410,150
1663,In Service,,Gravity,84857,78769,150
1664,In Service,,Gravity,80794,73868,150
1665,In Service,,Gravity,81016,73873,150
1666,In Service,,Gravity,89134,83910,150
1667,In Service,,Gravity,81334,86650,150
1668,In Service,,Gravity,73877,82711,150
1669,In Service,,Gravity,73878,80795,225
1670,In Service,,Gravity,73879,79717,150
1671,In Service,,Gravity,87879,73881,225
1672,In Service,,Gravity,73881,78772,225
1673,In Service,,Gravity,84860,73449,225
1674,In Service,,Gravity,86951,73885,860
1675,In Service,,Rising,PS035,84861,150
1676,In Service,,Gravity,73887,73886,150
1677,In Service,,Gravity,82713,85415,150
1678,In Service,,Gravity,85415,86652,150
1679,In Service,,Gravity,73890,84862,150
1680,In Service,,Gravity,80798,84862,150
1681,In Service,,Gravity,87882,73892,150
1682,In Service,,Gravity,85416,81338,150
1683,In Service,,Gravity,88979,86653,225
1684,In Service,,Gravity,78775,80799,150
1685,In Service,,Gravity,88980,73897,150
